Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
37,157.8333333,32.7791431,6,2,1.154700538,369568.8116,25212.68844,14.65804856,Debris
38,129.5,24.5,2,0.5,0.5,112853.1977,6172.302342,18.28380909,Debris
39,174.4666667,36.64217364,15,2.958333333,0.978057883,647421.5791,64053.35868,10.10753522,Star
40,171.6666667,46.89586573,6,2.333333333,1.054092553,606623.9728,0.193859797,3129189.153,Debris
41,162.6,33.21204601,5,2.222222222,1.133115447,195080.8424,1.157550876,168528.9576,Debris
42,151,37.40989174,4,1.833333333,1.067187373,319758.048,28728.57697,11.1303128,Debris
43,179.4583333,38.06352056,24,3.25,1.86748494,767615.2667,130445.7472,5.88455571,Star
44,122,9,2,0.5,0.5,97364.47845,14158.02155,6.876983349,Debris
45,126,0,1,0,0,82820,0,inf,Debris
46,175.375,33.39512502,8,2.416666667,0.953793595,350883.2759,12627.72408,27.78673921,Star
47,105,0,1,0,0,119362,0,inf,Debris
48,121,0,1,0,0,128781,0,inf,Debris
49,120,13,2,0.5,0.5,107967.0281,9351.471855,11.54545828,Debris
50,160,13,2,0.5,0.5,146913.8039,22673.69608,6.479481924,Debris
1,107,0,1,0,0,31329,0,inf,Debris
2,180.9444444,34.16540196,18,2.791666667,1.039998665,246023.8116,14.85507249,16561.6029,Star
3,124,3,2,0.5,0.5,86641.68712,111.8128764,774.8811223,Debris
4,129.75,22.32011425,4,1.5,1.118033989,162490.6184,0.381566644,425851.2133,Debris
5,150,37.20886991,4,1.5,1.118033989,243268.5998,0.400150287,607943.0851,Debris
6,184.1621622,39.80595739,37,3.635294118,2.028311722,611886.6131,20506.43296,29.83876397,Star
7,150.5,29.6690074,4,1.5,1.118033989,100048.7179,0.282102566,354653.6973,Debris
8,156.4,38.64505143,5,2.222222222,1.133115447,92787.12988,0.870120674,106637.0822,Debris
9,126.6666667,15.19502843,3,1.5,1.118033989,25802.36362,0.080823775,319242.246,Debris
10,146,0,1,0,0,37210,0,inf,Debris
11,148.5,42.93696931,6,2.333333333,1.054092553,93989.55358,0.613089411,153304.8067,Debris
12,160,27.74887385,4,1.5,1.118033989,17698.99949,0.000508503,34806064.84,Debris
13,121,0,1,0,0,8633,0,inf,Debris
14,103,0,1,0,0,40837,0,inf,Debris
15,154.5,35.85503219,6,1.833333333,1.067187373,248196.6057,4489.894257,55.27894234,Debris
